,vi_family,grad_estimator_type,good_model_id,laplaces_method_use,augmentation_param_M,step_size,num_epochs,time per iter,good_model_names,seed,final_metric,final_metric_std,training_average_lower_bound,sampling_M,step_size_scheme
76,rnvp,IWAE,26,0,1,0.008333333333333333,30000,0.1495295270284017,dogs,11,-298.3446687686543,0.4335038052958419,-587.6669625167593,1,comprehensive step search
77,rnvp,IWAE,26,0,10,0.008333333333333333,30000,0.14066405866146087,dogs,11,-10597743.272386212,71604987.08781025,-320.1776069474824,1,comprehensive step search
78,rnvp,IWAEDREG,26,0,1,0.008333333333333333,30000,0.1616849748134613,dogs,11,-298.2593350242014,0.038502345338255195,-587.6385714569861,1,comprehensive step search
79,rnvp,IWAEDREG,26,0,10,0.0020833333333333333,30000,0.14866736454963683,dogs,11,-298.2582107615524,0.023670235856937595,-336.297829951798,1,comprehensive step search
80,gaussian,IWAE,28,0,1,0.0008928571428571429,30000,0.03966966825326284,electric_1a_chr,11,-424.47951013690044,2.811884620714839,-1897.391159134832,1,comprehensive step search
81,gaussian,IWAE,28,0,10,0.0008928571428571429,30000,0.033259197227160135,electric_1a_chr,11,-445.92312021175826,21.87444195802895,-761.6595562328833,1,comprehensive step search
82,gaussian,IWAE,28,1,1,0.0008928571428571429,30000,0.039352302678426106,electric_1a_chr,11,-424.48357653135156,2.850803632697141,-587.6115932199515,1,comprehensive step search
83,gaussian,IWAE,28,1,10,0.0008928571428571429,30000,0.03308319816589356,electric_1a_chr,11,-446.27947118349465,22.384386905988116,-532.1300030840904,1,comprehensive step search
84,gaussian,IWAEDREG,28,0,1,0.0008928571428571429,30000,0.03299063509305318,electric_1a_chr,11,-423.6308626836591,2.324299395441633,-1897.197535739756,1,comprehensive step search
85,gaussian,IWAEDREG,28,0,10,0.0008928571428571429,30000,0.02728799027601878,electric_1a_chr,11,-428.3003885119117,7.916250931358756,-760.5961797541083,1,comprehensive step search
86,gaussian,IWAEDREG,28,1,1,0.0008928571428571429,30000,0.03226029802163442,electric_1a_chr,11,-423.6188262792714,2.277863355127282,-586.8373237171992,1,comprehensive step search
87,gaussian,IWAEDREG,28,1,10,0.0008928571428571429,30000,0.025818265215555827,electric_1a_chr,11,-428.7141586899085,8.44729059277546,-529.9559085345624,1,comprehensive step search
88,rnvp,IWAE,28,0,1,0.0008928571428571429,30000,0.18080861303806306,electric_1a_chr,11,-420.8644898226032,1.245252007161417,-1039.6385870434112,1,comprehensive step search
89,rnvp,IWAE,28,0,10,0.0008928571428571429,30000,0.17355849814414978,electric_1a_chr,11,-423.9622462790876,3.7164861069433575,-598.3034678986007,1,comprehensive step search
90,rnvp,IWAEDREG,28,0,1,0.0008928571428571429,30000,0.21725556162198384,electric_1a_chr,11,-420.24474380722074,0.6254048707683821,-1039.1620187620715,1,comprehensive step search
91,rnvp,IWAEDREG,28,0,10,0.0008928571428571429,30000,0.20217388984362283,electric_1a_chr,11,-420.8118612552681,1.428150251219285,-596.2407765140088,1,comprehensive step search
92,gaussian,IWAE,29,0,1,0.0008620689655172415,30000,0.042546285541852316,electric_1c_chr,11,-285.7462080854155,5.670189882845451,-1784.5933450542664,1,comprehensive step search
93,gaussian,IWAE,29,0,10,0.0008620689655172415,30000,0.036060585927963254,electric_1c_chr,11,-520.7277841349315,280.61598370098864,-714.3112745991232,1,comprehensive step search
94,gaussian,IWAE,29,1,1,0.0008620689655172415,30000,0.042373585081100465,electric_1c_chr,11,-285.78643475665984,5.530648919189294,-869.2007802379684,1,comprehensive step search
95,gaussian,IWAE,29,1,10,0.00021551724137931037,30000,0.035751034180323285,electric_1c_chr,11,-2032.7535916846487,4478.136988488813,-514.8794404181959,1,comprehensive step search
96,gaussian,IWAEDREG,29,0,1,0.0008620689655172415,30000,0.035554277523358664,electric_1c_chr,11,-284.810268415101,5.025247694009129,-1784.3078432949733,1,comprehensive step search
97,gaussian,IWAEDREG,29,0,10,0.0008620689655172415,30000,0.02889697264035543,electric_1c_chr,11,-556.0871549796241,383.290217573724,-713.1074561986728,1,comprehensive step search
98,gaussian,IWAEDREG,29,1,1,0.0008620689655172415,30000,0.035538510354359946,electric_1c_chr,11,-284.9183083657118,5.132436941976974,-871.4777832076276,1,comprehensive step search
99,gaussian,IWAEDREG,29,1,10,0.00021551724137931037,30000,0.02888051559130351,electric_1c_chr,11,-2215.181045902746,4930.61106629386,-517.8203168604168,1,comprehensive step search
100,rnvp,IWAE,29,0,1,0.0008620689655172415,30000,0.1899060844262441,electric_1c_chr,11,-279.51052482023147,2.0030903880177773,-892.6960063343646,1,comprehensive step search
101,rnvp,IWAE,29,0,10,0.0008620689655172415,30000,0.17965294336477916,electric_1c_chr,11,-285.4650236499588,7.393315500243255,-519.9581651990159,1,comprehensive step search
102,rnvp,IWAEDREG,29,0,1,0.0008620689655172415,30000,0.2110335506995519,electric_1c_chr,11,-278.1784469941223,1.1350417646476918,-892.3152446118777,1,comprehensive step search
103,rnvp,IWAEDREG,29,0,10,0.0008620689655172415,30000,0.19817115932305654,electric_1c_chr,11,-280.56070478464454,4.100553784996263,-515.8383908538178,1,comprehensive step search
104,gaussian,IWAE,30,0,1,0.03333333333333333,30000,0.020614786847432454,electric_one_pred,11,-641.625650267284,0.3609420057403856,-888454.8805638395,1,comprehensive step search
105,gaussian,IWAE,30,0,10,0.03333333333333333,30000,0.01375923019250234,electric_one_pred,11,-646.8406940118988,7.5504679952753655,-10975.592792183752,1,comprehensive step search
106,gaussian,IWAE,30,1,1,0.00013020833333333333,30000,0.020905844354629517,electric_one_pred,11,-641.5642696247136,0.11364145818839541,-641.5647845234654,1,comprehensive step search
107,gaussian,IWAE,30,1,10,0.0005208333333333333,30000,0.014050794657071432,electric_one_pred,11,-641.5752020632833,0.1929574115128211,-641.5555216706466,1,comprehensive step search
108,gaussian,IWAEDREG,30,0,1,0.03333333333333333,30000,0.02264842742284139,electric_one_pred,11,-641.5701028289387,0.1585241412717389,-888454.8773784131,1,comprehensive step search
109,gaussian,IWAEDREG,30,0,10,0.03333333333333333,30000,0.013996779696146646,electric_one_pred,11,-641.5685363723821,0.1553554226611647,-10975.56991685624,1,comprehensive step search
110,gaussian,IWAEDREG,30,1,1,0.0005208333333333333,30000,0.02143028974533081,electric_one_pred,11,-641.5627928566079,0.1080320494642136,-641.5648850666358,1,comprehensive step search
111,gaussian,IWAEDREG,30,1,10,0.00013020833333333333,30000,0.014286909453074138,electric_one_pred,11,-641.5636912006204,0.11573109851739498,-641.5573077365212,1,comprehensive step search
112,rnvp,IWAE,30,0,1,0.008333333333333333,30000,0.13177292360464732,electric_one_pred,11,-641.695483879906,0.5625533609890492,-425308.83640701626,1,comprehensive step search
113,rnvp,IWAE,30,0,10,0.0020833333333333333,30000,0.12089927846590678,electric_one_pred,11,-642.3845243787027,1.984766430271891,-13717.396845323496,1,comprehensive step search
114,rnvp,IWAEDREG,30,0,1,0.008333333333333333,30000,0.1775811007340749,electric_one_pred,11,-641.557693354962,0.044705357996314844,-425331.8716480608,1,comprehensive step search
115,rnvp,IWAEDREG,30,0,10,0.0020833333333333333,30000,0.15854445079962412,electric_one_pred,11,-641.5597539290184,0.07340108176051287,-13717.486176753175,1,comprehensive step search
116,gaussian,IWAE,32,0,1,0.001,30000,0.034995841304461164,electric_chr,11,-512.3743751614334,1.9584972616158658,-1896.6037501618132,1,comprehensive step search
117,gaussian,IWAE,32,0,10,0.001,30000,0.0287794087489446,electric_chr,11,-644.0945823928569,190.46893360092312,-683.3531351262677,1,comprehensive step search
118,gaussian,IWAE,32,1,1,0.001,30000,0.035190773487091064,electric_chr,11,-512.3679123138402,1.954953626174671,-600.3297195385157,1,comprehensive step search
119,gaussian,IWAE,32,1,10,0.001,30000,0.02848736448287964,electric_chr,11,-655.4241224733937,203.67303915529186,-584.0868210847826,1,comprehensive step search
120,gaussian,IWAEDREG,32,0,1,0.001,30000,0.030447451543807985,electric_chr,11,-511.5600268284882,1.3014785730989975,-1896.4376592633023,1,comprehensive step search
121,gaussian,IWAEDREG,32,0,10,0.001,30000,0.022843350664774578,electric_chr,11,-686.8307210059759,251.0581133004557,-683.2572528991732,1,comprehensive step search
